Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Accelerator Program Type,Accelerator Duration (in weeks)
Comdisco Ventures,https://www.crunchbase.com/organization/comdisco-ventures,73,36,"Rosamond, Illinois, United States","Comdisco emerged from chapter 11 bankruptcy proceedings on August 12, 2002. The purpose of reorganized Comdisco is to sell, collect or",Venture Capital,"Debt, Late Stage Venture, Private Equity",66,,
Toba Capital,https://www.crunchbase.com/organization/toba-capital,72,11,"San Francisco, California, United States","Toba Capital is a venture firm investing in business applications, IT, and internet infrastructure markets.",Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",45,,
Endeavor Catalyst,https://www.crunchbase.com/organization/endeavor-catalyst,72,3,"San Francisco, California, United States",Endeavor Catalyst is an innovative $100MM+ co-investment fund that invests in qualifying rounds of $5M+ raised by Endeavor Entrepreneurs. ,,"Early Stage Venture, Late Stage Venture",67,,
Signia Venture Partners,https://www.crunchbase.com/organization/signia-venture-partners,72,13,"Menlo Park, California, United States",We started Signia because the venture capital industry has grown too large to serve the needs of early stage entrepreneurs.,Venture Capital,"Early Stage Venture, Seed",54,,
UpWest Labs,https://www.crunchbase.com/organization/upwest-labs,72,8,"Palo Alto, California, United States",UpWest Labs is a Seed Fund based in Silicon Valley supporting Israel's best tech entrepreneurs,Venture Capital,"Early Stage Venture, Seed",60,On-Site,
Rincon Venture Partners,https://www.crunchbase.com/organization/rincon-venture-partners,72,10,"Santa Barbara, California, United States",Rincon is an early-stage venture capital firm targeting investment opportunities in web-based businesses.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",45,,
DFJ Growth,https://www.crunchbase.com/organization/dfj-growth,72,25,"Menlo Park, California, United States","DFJ Growth is a late-stage global venture capital firm that provides capital to companies in seed-, early-, and growth-stages.",Private Equity Firm,"Early Stage Venture, Late Stage Venture, Private Equity",56,,
TomorrowVentures,https://www.crunchbase.com/organization/tomorrow-ventures,72,9,"Palo Alto, California, United States",TomorrowVentures is an early stage venture capital firm that funds lifestyle-focused companies.,Micro VC,"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",53,,
The Brandery,https://www.crunchbase.com/organization/the-brandery,72,7,"Cincinnati, Ohio, United States","Located in Cincinnati, Ohio, The Brandery is nationally ranked as one of the top startup accelerators in the US.",Accelerator,"Debt, Early Stage Venture, Seed",51,On-Site,17
Contour Venture Partners,https://www.crunchbase.com/organization/contour-ventures,72,12,"New York, New York, United States",Contour Venture Partners is an early stage venture capital firm.,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",41,,
BancBoston Ventures,https://www.crunchbase.com/organization/bancboston-ventures,72,26,"Boston, Massachusetts, United States",BancBoston Ventures was the Bank of Bostonâ€™s early stage venture capital fund. Eventually the Bank of Boston was acquired by the Bank of,Venture Capital,"Early Stage Venture, Late Stage Venture",56,,
Fidelity Investments,https://www.crunchbase.com/organization/fidelity-investments,71,27,"Boston, Massachusetts, United States",Fidelity Investments provides financial services and investment resources that help its users meet their financial objectives.,Investment Bank,"Late Stage Venture, Post-Ipo, Private Equity",65,,
Vayner/RSE,https://www.crunchbase.com/organization/vayner-rse,71,10,"New York, New York, United States",Vayner/RSE is a New York-based venture capital firm specialized in institutional financing and seed-stage investments.,Micro VC,"Early Stage Venture, Late Stage Venture, Seed",65,,
Technology Partners,https://www.crunchbase.com/organization/technology-partners,71,19,"Palo Alto, California, United States","Technology Partners is a venture capital firm specialized in seed-, early-, and later-stage venture and private equity investments.",Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",37,,
Green D Ventures,https://www.crunchbase.com/organization/green-d-ventures-2,70,2,"Manchester, New Hampshire, United States",Green D Ventures is a Dartmouth alumni venture fund investing in Dartmouth alum-led companies.,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",53,,
Pear Ventures,https://www.crunchbase.com/organization/pejman-mar-ventures,70,3,"Palo Alto, California, United States","Pear, formerly known as Pejman Mar Ventures, is an early stage venture fund founded by Pejman and Mar.",Venture Capital,"Early Stage Venture, Seed",46,,
Jason Calacanis,https://www.crunchbase.com/person/jason-calacanis,70,13,"San Francisco, California, United States","Jason McCabe Calacanis hosts ""This Week In Startups"", part of LAUNCH Media and is the founder and CEO of Inside.com. Previously, he was a...",Individual/Angel,Seed,60,,
Amino Capital,https://www.crunchbase.com/organization/zpark-venture,70,7,"Palo Alto, California, United States","Amino Capital focusing on data driven startups, and blockchain powered next generation protocols","Accelerator, Micro VC, Venture Capital","Early Stage Venture, Seed",64,,
Anthem Venture Partners,https://www.crunchbase.com/organization/anthem-venture-partners,70,17,"Santa Monica, California, United States",Anthem Venture Partners is a venture capital firm.,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",43,,
Upslope Ventures,https://www.crunchbase.com/organization/galvanize,70,9,"Denver, Colorado, United States",Upslope Ventures is an early stage venture capital fund that invests in startups across the country. ,,"Early Stage Venture, Seed",52,,
ABS Capital Partners,https://www.crunchbase.com/organization/abs-capital-partners,70,33,"Baltimore, Maryland, United States","ABS Capital Partners invest on business & education services, information & communications technology, & health care.",Venture Capital,"Early Stage Venture, Late Stage Venture",61,,
Venture Investors,https://www.crunchbase.com/organization/venture-investors,70,20,"Madison, Wisconsin, United States",Venture Investors is a premier provider of seed and early stage venture capital in the Midwest.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",47,,
Benjamin Ling,https://www.crunchbase.com/person/ben-ling,70,19,"Menlo Park, California, United States","Ben Ling is an Investment Partner at Khosla Ventures, where he is focused on mobile and Internet, marketplace, consumer health and data busi...","Individual/Angel, Investment Partner",Seed,68,,
Industry Ventures,https://www.crunchbase.com/organization/industry-ventures,69,11,"San Francisco, California, United States","Industry Ventures, leading investment firm focused on the venture capital market, manages over $2 billion of institutional capital.",Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity",55,,
Max Levchin,https://www.crunchbase.com/person/max-levchin,69,19,"San Francisco, California, United States","Max Levchin is an investor and advisor to emerging technology companies. He was previously the chairman and chief executive officer of HVF, ...",Individual/Angel,Seed,58,,
XSeed Capital,https://www.crunchbase.com/organization/xseed-capital,69,7,"Portola Valley, California, United States",XSeed Capital provides capital resources for entrepreneurs to build differentiated technology start-ups.,Venture Capital,"Early Stage Venture, Seed",41,,
Bain Capital,https://www.crunchbase.com/organization/bain-capital-2,69,29,"Boston, Massachusetts, United States","Bain Capital is a global alternative investment firm specializes in private equity, venture capital and credit products.",Corporate Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity",62,,
FF Angel LLC,https://www.crunchbase.com/organization/ff-angel-llc,69,13,"San Francisco, California, United States",FF Angel is part of the San Francisco-based venture capital firm Founders Fund,Angel Group,"Early Stage Venture, Seed",56,,
Quest Venture Partners,https://www.crunchbase.com/organization/quest-venture-partners,69,13,"Palo Alto, California, United States",Quest Venture Partners operates as a venture capital firm.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",43,,
Keiretsu Forum,https://www.crunchbase.com/organization/keiretsu-forum,69,7,"San Francisco, California, United States","Keiretsu Forum is a California-based angel group that offers early, seed, and later stage venture, and debt financing investments.",Angel Group,"Debt, Early Stage Venture, Late Stage Venture, Seed",66,,
Pfizer Venture Investments,https://www.crunchbase.com/organization/pfizer-venture-investments,69,21,"New York, New York, United States",Pfizer Venture Investments is a venture capital firm.,Corporate Venture Capital,,53,,
TPG Growth,https://www.crunchbase.com/organization/tpg-growth,68,14,"San Francisco, California, United States",TPG Growth specializes in growth equity and middle-market buyout opportunities.,Private Equity Firm,"Debt, Early Stage Venture, Late Stage Venture, Private Equity",56,,
TriplePoint Capital,https://www.crunchbase.com/organization/triplepoint-capital,68,28,"Menlo Park, California, United States",TriplePoint Capital offers leases and loans to finance companies' equipment or growth-capital needs.,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Seed",63,,
Structure Capital,https://www.crunchbase.com/organization/structure-capital,68,11,"San Francisco, California, United States","Early stage VC fund. First round investor in Uber, Breather, Laurel and Wolf, Cargomatic, Shyp, Salesforce",Micro VC,"Early Stage Venture, Seed",60,,
Brendan Wallace,https://www.crunchbase.com/person/brendan-wallace,68,12,"Los Angeles, California, United States","Brendan is a Co-Founder & Managing Partner at Fifth Wall, a $212M venture capital focused on Built World Technology backed by the largest ow...","Individual/Angel, Investment Partner",Seed,50,,
Blockchain Capital,https://www.crunchbase.com/organization/crypto-currency-partners,67,4,"San Francisco, California, United States",Professional investors and entrepreneurs driving innovation in the Blockchain ecosystem.,Venture Capital,"Crowdfunding, Early Stage Venture, Late Stage Venture, Secondary Market, Seed",51,,
Comerica Bank,https://www.crunchbase.com/organization/comerica-bank,67,29,"Reston, Virginia, United States","Comerica Bank is a Texas-based financial services corporation that specializes in business and retail banking, and wealth management.",Investment Bank,"Debt, Early Stage Venture, Late Stage Venture, Private Equity",64,,
Inventus Capital Partners,https://www.crunchbase.com/organization/inventus-capital-partners,67,8,"San Mateo, California, United States",Inventus Capital Partners is a US-India venture firm managed by successful entrepreneurs and industry operating veterans who have guided,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",41,,
Wilson Sonsini Goodrich & Rosati,https://www.crunchbase.com/organization/wilson-sonsini-goodrich-rosati,67,19,"Palo Alto, California, United States","Wilson Sonsini Goodrich & Rosati provides legal services for technology, life sciences, and other growth enterprises.",,,60,,
Access Venture Partners,https://www.crunchbase.com/organization/access-venture-partners,67,11,"Westminster, Colorado, United States",Access Venture Partners is an entrepreneur-focused fund investing in early growth technology companies in the Rocky Mountain region,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",41,,
Draper Richards,https://www.crunchbase.com/organization/draper-richards,67,24,"Menlo Park, California, United States",Draper Richards is a venture capital firm investing in early-stage technology companies.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",44,,
Knight Foundation,https://www.crunchbase.com/organization/knight-foundation,67,9,"Miami, Florida, United States","Knight Foundation supports transformational ideas that promote quality journalism, advance media innovation, and engaged communities.",,,60,,
Deerfield,https://www.crunchbase.com/organization/deerfield,67,32,"New York, New York, United States","Deerfield is an investment management firm, committed to advancing healthcare through investment, information and philanthropy.",Venture Capital,"Debt, Early Stage Venture",58,,
Alsop Louie Partners,https://www.crunchbase.com/organization/alsop-louie-partners,66,18,"San Francisco, California, United States",Alsop Louie Partners is a risk-oriented technology venture capital firm that offers financial services to early stage companies.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",48,,
PJC,https://www.crunchbase.com/organization/point-judith-capital,66,9,"Boston, Massachusetts, United States",PJC is an early stage venture capital firm focusing on investments in software and technology enabled services.,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Seed",41,,
Double M Partners,https://www.crunchbase.com/organization/double-m-partners,66,6,"Los Angeles, California, United States","Double M Partners is a company invests in Internet, Media and Communications companies in B2B infrastructure, software, security etc.",Venture Capital,"Early Stage Venture, Seed",48,,
TDF Ventures,https://www.crunchbase.com/organization/tdf-ventures,66,16,"Chevy Chase, Maryland, United States","TDF Ventures is a venture capital firm that targets Series A investments in enterprise software, communications, and technology companies.",Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",38,,
GrandBanks Capital,https://www.crunchbase.com/organization/grandbanks-capital,66,14,"Needham, Massachusetts, United States","GrandBanks Capital is an early-stage venture capital firm that invests in wireless and mobile technologies, digital media, web-based",Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Seed",32,,
Google,https://www.crunchbase.com/organization/google,65,18,"Mountain View, California, United States",Google is a multinational corporation that is specialized in internet-related services and products.,,,55,,
Fuel Capital,https://www.crunchbase.com/organization/fuel-capital,65,6,"San Francisco, California, United States","Fuel Capital is a California-based early-stage venture fund focused on consumer, SaaS, and cloud infrastructure companies.","Micro VC, Venture Capital","Early Stage Venture, Seed",49,,
RiverPark Ventures,https://www.crunchbase.com/organization/riverpark-ventures,65,4,"New York, New York, United States",RiverPark Ventures is a privately owned investment management firm focused on entrepreneurs.,Venture Capital,Early Stage Venture,44,,
Golden Seeds,https://www.crunchbase.com/organization/golden-seeds,65,4,"New York, New York, United States",Golden Seeds is a New York-based private equity fund focused on early-stage women-led businesses.,Angel Group,"Early Stage Venture, Late Stage Venture, Seed",51,,
Osage Venture Partners,https://www.crunchbase.com/organization/osage-partners,65,9,"Bala Cynwyd, Pennsylvania, United States","Osage Venture Partners is a venture capital fund specializing in early stage, B2B software companies on the East Coast.",Venture Capital,"Early Stage Venture, Seed",38,,
Miramar Ventures,https://www.crunchbase.com/organization/miramar-venture-partners,65,15,"Corona Del Mar, California, United States","Miramar Ventures, launched in 2002, is focused on seed and early stage venture capital investing in the mobile sector.",Venture Capital,"Early Stage Venture, Seed",45,,
Sherpalo Ventures,https://www.crunchbase.com/organization/sherpalo-ventures,65,17,"Menlo Park, California, United States",Sherpalo is a mentor capital firm that supports the development and commercialization of early-stage disruptive new technologies.,Angel Group,"Early Stage Venture, Late Stage Venture, Seed",47,,
Morgan Stanley Dean Witter,https://www.crunchbase.com/organization/morgan-stanley-dean-witter,65,35,"New York, New York, United States",Morgan Stanley is a financial services and asset management corporation.,,,63,,
Liquid2 Ventures,https://www.crunchbase.com/organization/liquid2-ventures,64,,"San Francisco, California, United States","Liquid2 Ventures provides technology startups with seed stage investments and is based in San Francisco, California.","Micro VC, Venture Capital","Early Stage Venture, Seed",61,,
Two Sigma Ventures,https://www.crunchbase.com/organization/two-sigma-ventures,64,3,"New York, New York, United States",Two Sigma Ventures invests in companies run by highly driven people with potentially world-changing ideas.,Venture Capital,"Early Stage Venture, Seed",38,,
Susa Ventures,https://www.crunchbase.com/organization/susa-ventures,64,4,"San Francisco, California, United States",Susa Ventures is an early-stage technology fund based in San Francisco.,"Micro VC, Venture Capital","Early Stage Venture, Seed",45,,
Garage Technology Ventures,https://www.crunchbase.com/organization/garage-technology-ventures,64,16,"Palo Alto, California, United States",Garage Technology Ventures is a seed and early-stage venture capital firm co-founded by Guy Kawasaki and Bill Reichert.,"Micro VC, Venture Capital","Early Stage Venture, Late Stage Venture, Seed",46,,
Catamount Ventures,https://www.crunchbase.com/organization/catamount-ventures,64,11,"San Francisco, California, United States",Catamount Ventures focuses on investing in early stage startups. We back world-class entrepreneurs with a plan to change the world through,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",31,,
Zelkova Ventures,https://www.crunchbase.com/organization/zelkova-ventures,64,19,"New York, New York, United States",Zelkova Ventures is a venture capital firm committed to helping entrepreneurs build companies.,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Seed",50,,
First Analysis,https://www.crunchbase.com/organization/first-analysis,64,16,"Chicago, Illinois, United States","First Analysis is a venture capital investment company that offers equity research, investment banking, and sales and trading services.",Venture Capital,"Early Stage Venture, Late Stage Venture",48,,
Chrysalis Ventures,https://www.crunchbase.com/organization/chrysalis-ventures,64,12,"Louisville, Kentucky, United States",Chrysalis Ventures is a source of equity capital for young growth companies in the under-ventured Midwest and South.,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture",35,,
Stanford University,https://www.crunchbase.com/organization/stanford-university,63,24,"Stanford, California, United States",Stanford University is one of the world's leading teaching and research universities.,University Program,,58,,
ICONIQ Capital,https://www.crunchbase.com/organization/iconiq-capital,63,5,"San Francisco, California, United States",ICONIQ Capital is a global multi-family office and merchant bank for a group of influential families.,Family Investment Office,"Early Stage Venture, Late Stage Venture, Private Equity",40,,
Initialized Capital,https://www.crunchbase.com/organization/initialized-capital,63,4,"San Francisco, California, United States","Initialized Capital is early stage VC firm focused on helping software engineers, designers and product people with their first seed checks",Venture Capital,"Early Stage Venture, Seed",54,,
Commerce Ventures,https://www.crunchbase.com/organization/commerce-ventures,63,4,"San Francisco, California, United States","Commerce Ventures is a venture capital firm focusing on investments in the e-commerce, retail, FinTech and Insurace sectors",Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",38,,
Amplify Partners,https://www.crunchbase.com/organization/amplify-partners,63,5,"Menlo Park, California, United States",Early-stage venture capital for the entrepreneurs defining Infrastructure 2.0 and the Data Revolution,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",35,,
Artis Ventures (AV),https://www.crunchbase.com/organization/artis,63,19,"San Francisco, California, United States","ARTIS Ventures finances seed, early, and later stage venture investments and is based in San Francisco, California.",Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",40,,
Updata Partners,https://www.crunchbase.com/organization/updata-partners,63,22,"Washington, District of Columbia, United States",Updata Partners provides growth equity and growth experience to the next generation of technology market leaders.,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity",44,,
Blackstone,https://www.crunchbase.com/organization/blackstone-group,63,15,"New York, New York, United States",Blackstone is an investment and advisory firm providing solutions that create value for investors and clients.,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Seed",53,,
Kaiser Permanente Ventures,https://www.crunchbase.com/organization/kaiser-permanente-ventures,63,20,"Oakland, California, United States",Kaiser Permanente Ventures is a California-based corporate venture capital firm investing in healthcare companies.,Corporate Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity",44,,
Joanne Wilson,https://www.crunchbase.com/person/joanne-wilson,63,3,"New York, New York, United States","Joanne Wilson has had many careers. She started out in retail, eventually moving to the wholesale arena. She then transitioned to the media ...","Individual/Angel, Investment Partner",Seed,51,,
Saints Capital,https://www.crunchbase.com/organization/saints-capital,63,24,"San Francisco, California, United States",Saints Capital is a merchant venture capital firm with offices located in San Francisco and London.,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity",47,,
EnerTech Capital,https://www.crunchbase.com/organization/enertech-capital,63,10,"Conshohocken, Pennsylvania, United States",EnerTech Capital is a Pennsylvania-based venture capital firm that invests in early- to growth-stage energy and clean energy companies.,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity",37,,
Aberdare Ventures,https://www.crunchbase.com/organization/aberdare-ventures,63,11,"San Francisco, California, United States","Aberdare Ventures offers the healthcare industry with seed, early, and later stage venture, private equity, and grants investments.",Venture Capital,"Early Stage Venture, Grant, Late Stage Venture, Private Equity, Seed",31,,
vSpring Capital,https://www.crunchbase.com/organization/vspring-capital,63,13,"Salt Lake City, Utah, United States",vSpring is a traditional early-stage venture capital firm with over $350 million of committed capital under management.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",37,,
Solidus Company,https://www.crunchbase.com/organization/solidus-company,63,5,"Nashville, Tennessee, United States",Solidus Company is an early-stage venture capital firm that invests in growth-stage companies.,Private Equity Firm,"Early Stage Venture, Seed",55,,
Farzad (Zod) Nazem,https://www.crunchbase.com/person/farzad-nazem,63,12,"Palo Alto, California, United States",Farzad (Zod) Nazem has been a prolific angel investor and advisor to tech startup companies since his retirement from Yahoo! in 2007.  He ha...,Individual/Angel,Seed,55,,
Lee Linden,https://www.crunchbase.com/person/lee-linden,62,9,"San Francisco, California, United States","Lee is an entrepreneur and early stage investor. Previously, he lead Facebook's emerging initiatives in commerce, including Gifts and the...",Individual/Angel,Seed,59,,
RPM Ventures,https://www.crunchbase.com/organization/rpm-ventures,62,12,"Ann Arbor, Michigan, United States","RPM is a Silicon Valley & Midwest based seed and early-stage venture fund focusing on Mobility, B2B Enterprise, and Marketplaces.",Venture Capital,"Early Stage Venture, Seed",36,,
The Westly Group,https://www.crunchbase.com/organization/the-westly-group,62,8,"Menlo Park, California, United States",The Westly Group invests in leading and up-and-coming cleantech companies in an effort to accelerate the clean technology revolution.,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",33,,
R/GA Ventures,https://www.crunchbase.com/organization/r-ga-ventures,62,,"New York, New York, United States","Investment arm of R/GA. Acceleration, redefined. We don't just help companies build their products. We help them build their brands.",Corporate Venture Capital,"Early Stage Venture, Seed",58,,
Arboretum Ventures,https://www.crunchbase.com/organization/arboretum-ventures,62,10,"Ann Arbor, Michigan, United States",Arboretum Ventures is a Michigan-based venture capital firm investing in medical technology and healthcare companies.,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity",35,,
TransCosmos,https://www.crunchbase.com/organization/transcosmos,62,23,"Mountain View, California, United States","Transcosmos Investments & Business Development, Inc., is a strategic corporate investor and an active local business partner for",Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Seed",50,,
Tim Draper,https://www.crunchbase.com/person/timothy-draper,61,14,"San Francisco, California, United States","Timothy Draper is founding partner of leading venture capital firms Draper Associates and DFJ. Tim's original suggestion to use ""viral marke...","Individual/Angel, Investment Partner",Seed,59,,
Bezos Expeditions,https://www.crunchbase.com/organization/bezos-expeditions,61,11,"Mercer Island, Washington, United States",Bezos Expeditions manages Jeff Bezos' personal venture capital investments.,Family Investment Office,"Early Stage Venture, Late Stage Venture, Seed",39,,
Amgen Ventures,https://www.crunchbase.com/organization/amgen-ventures,61,15,"San Francisco, California, United States",Amgen Ventures is a California-based investment firm focused on early- and late-stage biotechnology companies.,Venture Capital,Early Stage Venture,40,,
Fairhaven Capital Partners,https://www.crunchbase.com/organization/fairhaven-capital-partners,61,6,"Cambridge, Massachusetts, United States","Fairhaven Capital (previously TD Capital) is a Cambridge, MA based venture capital firm investing in early stage technology startups.",Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",36,,
Trilogy Equity Partners,https://www.crunchbase.com/organization/trilogy-equity-partnership,61,13,"Bellevue, Washington, United States","Trilogy Equity Partners is a closely-held investment firm based in Bellevue, Washington.",Venture Capital,"Early Stage Venture, Private Equity, Seed",45,,
Base Ventures,https://www.crunchbase.com/organization/base-vc,61,10,"Berkeley, California, United States",Base Ventures is a company investing in seed-stage technology companies.,"Micro VC, Venture Capital",Early Stage Venture,50,,
Start Fund,https://www.crunchbase.com/organization/start-fund,61,15,"San Francisco, California, United States",Start Fund is a San Francisco-based joint venture focused on seed- and early-stage investments.,"Micro VC, Venture Capital","Early Stage Venture, Seed",58,,
Blue Chip Venture Company,https://www.crunchbase.com/organization/blue-chip-venture-company,61,20,"Cincinnati, Ohio, United States",Blue Chip Venture Company is a venture fund focusing on technology companies serving the digital media and big data industries,Venture Capital,Late Stage Venture,47,,
Skyline Ventures,https://www.crunchbase.com/organization/skyline-ventures,61,23,"Palo Alto, California, United States","Skyline Ventures, formed in 1997, is a nationally-known venture capital firm that specializes in investing in outstanding product-focused",Venture Capital,"Early Stage Venture, Late Stage Venture",34,,
Nth Power,https://www.crunchbase.com/organization/nth-power,61,9,"San Francisco, California, United States",Nth Power is a venture capital firm based in San Francisco and is the first and most experienced venture capital firm.,Venture Capital,"Early Stage Venture, Late Stage Venture",30,,
CMEA Ventures,https://www.crunchbase.com/organization/cmea-ventures,61,27,"San Francisco, California, United States","San Francisco based venture capital firm that specializes in high technology, life sciences, and alternative energy investments",Venture Capital,,39,,
8VC,https://www.crunchbase.com/organization/8vc,60,2,"San Francisco, California, United States","8VC aims to transform the technology infrastructure behind many industries, and is based in San Francisco, California.",Venture Capital,,55,,
Auren Hoffman,https://www.crunchbase.com/person/auren-hoffman,60,20,"San Francisco, California, United States","Auren Hoffman is the CEO of LiveRamp (sold to Acxiom for $310 million on 2014).  Previously, he founded and sold three Internet companies...",Individual/Angel,"Late Stage Venture, Seed",54,,
"The R-Group, LLC",https://www.crunchbase.com/organization/the-r-group-llc,60,10,"Portland, Oregon, United States",The R-Group is a Portland-based family-office focused on angel investments.,Family Investment Office,"Crowdfunding, Early Stage Venture, Late Stage Venture, Private Equity, Seed",49,,
New Jersey Economic Development Authority,https://www.crunchbase.com/organization/new-jersey-economic-development-authority,60,13,"Trenton, New Jersey, United States",New Jersey Economic Development Authority provides financial assistance to small and mid-sized businesses.,Government Office,Early Stage Venture,54,,
TEDCO,https://www.crunchbase.com/organization/maryland-technology-development-corporation,60,1,"Columbia, Maryland, United States","TEDCO is a Maryland-based independent organization focused on researchers, entrepreneurs, startups, and early-stage companies.","Government Office, Venture Capital","Debt, Early Stage Venture, Seed",58,,
Citi Ventures,https://www.crunchbase.com/organization/citi-ventures,60,11,"Palo Alto, California, United States","Citi Ventures is Citi's global corporate venturing arm, chartered to collaborate with internal and external partners to conceive, partner,","Corporate Venture Capital, Venture Capital",Early Stage Venture,48,,
Launch Tennessee,https://www.crunchbase.com/organization/launch-tennessee,60,8,"Nashville, Tennessee, United States",Making Tennessee the #1 place in the Southeast to start and grow a company,Government Office,"Early Stage Venture, Seed",35,,
Montreux Equity Partners,https://www.crunchbase.com/organization/montreaux-equity-partners,60,15,"San Francisco, California, United States",Montreux Equity Partners is a private investment firm dedicated to building the leading healthcare companies of tomorrow.,Venture Capital,"Late Stage Venture, Private Equity, Secondary Market",33,,
The Aurora Funds,https://www.crunchbase.com/organization/the-aurora-funds,60,15,"Durham, North Carolina, United States",The Aurora Funds is a family of venture capital funds committed to providing resources to help early stage healthcare and information,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture",34,,
Jump Capital,https://www.crunchbase.com/organization/jump-capital,59,2,"Chicago, Illinois, United States",Jump Capital is a venture capital firm specializing in Series A & B expansion stage investments in technology and software.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",40,,
NewSchools Venture Fund,https://www.crunchbase.com/organization/new-schools-venture-fund,59,7,"Oakland, California, United States",NewSchools Venture raise charitable funds from donors and invest them to support education entrepreneurs.,"Entrepreneurship Program, Venture Capital","Debt, Early Stage Venture, Grant, Late Stage Venture, Private Equity, Seed",49,Online,24
Camp One Ventures,https://www.crunchbase.com/organization/camp-one-ventures,59,4,"Palo Alto, California, United States","Camp One Ventures is a venture capital fund that does investments in early-staged social, mobile, FinTech, and SaaS startups.",Venture Capital,"Debt, Early Stage Venture, Seed",42,,
Prolog Ventures,https://www.crunchbase.com/organization/prolog-ventures,59,7,"St Louis, Missouri, United States",Prolog Ventures is a Missouri-based venture capital firm investing in life sciences companies.,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity",27,,
Gabriel Venture Partners,https://www.crunchbase.com/organization/gabriel-venture-partners,59,20,"San Mateo, California, United States","Gabriel Venture Partners is a venture capital firm that focuses on emerging of communications, networking and information technology",Venture Capital,"Early Stage Venture, Late Stage Venture",35,,
Brook Venture Partners,https://www.crunchbase.com/organization/brook-venture-partners,59,20,"Wakefield, Massachusetts, United States",Brook Venture Partners is a Massachusetts-based company that provides capital to expansion-stage healthcare IT and tech-enabled services.,Venture Capital,,50,,
Amazon,https://www.crunchbase.com/organization/amazon,58,16,"Seattle, Washington, United States","Amazon is an international e-commerce website for consumers, sellers, and content creators.",,,44,,
Medtronic,https://www.crunchbase.com/organization/medtronic,58,14,"Minneapolis, Minnesota, United States",Medtronic develops and manufactures innovative medical device technologies and therapies to treat chronic diseases worldwide.,,,40,,
KEC Ventures,https://www.crunchbase.com/organization/kec-ventures,58,5,"New York, New York, United States",KEC Ventures is an early-stage venture capital firm built for founders by founders in New York City. ,Venture Capital,"Early Stage Venture, Seed",37,,
SparkLabs Global Ventures,https://www.crunchbase.com/organization/sparklabs-global-ventures,58,6,"Palo Alto, California, United States",SparkLabs Global Ventures is a seed-stage investment firm.,"Micro VC, Venture Capital","Early Stage Venture, Seed",47,,
Costanoa Ventures,https://www.crunchbase.com/organization/costanoaventures,58,6,"Palo Alto, California, United States",Costanoa Ventures backs tenacious and thoughtful founders who change how business gets done.,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",34,,
MK Capital,https://www.crunchbase.com/organization/mk-capital,58,12,"Northbrook, Illinois, United States",MK Capital is a $250 million venture capital fund with headquarters in Chicago and offices in Los Angeles and Ann Arbor.,Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity",38,,
